Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Category,IMP_marker
WITCH 5.0,EN_NPi2020_400f,World,Capacity|Hydrogen|Electricity,GW,3.085371089,,,,,6.625521188,,,,,19.98575149,,,,,45.47780261,,,,,79.7516841,,,,,123.0737492,,,,,203.5014087,C1,
WITCH 5.0,EN_NPi2020_400f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.050463964,,,,,0.031828808,,,,,0.13714299,,,,,0.801017585,,,,,1.398684274,,,,,2.164296142,,,,,3.66025785,C1,
WITCH 5.0,EN_NPi2020_450,World,Capacity|Hydrogen|Electricity,GW,3.085371089,,,,,7.193718459,,,,,23.59695529,,,,,60.17580093,,,,,94.52831882,,,,,136.2199063,,,,,218.7162343,C1,
WITCH 5.0,EN_NPi2020_450,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.050463964,,,,,0.054525478,,,,,0.135195492,,,,,1.062660957,,,,,1.658447562,,,,,2.404373946,,,,,3.936892217,C1,
WITCH 5.0,EN_NPi2020_450f,World,Capacity|Hydrogen|Electricity,GW,3.085371089,,,,,6.556878253,,,,,19.73652586,,,,,39.55164064,,,,,78.69969068,,,,,121.7372132,,,,,200.4166024,C1,
WITCH 5.0,EN_NPi2020_450f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.050463964,,,,,0.029560099,,,,,0.133348794,,,,,0.695573949,,,,,1.38226563,,,,,2.143943385,,,,,3.60509551,C1,
WITCH 5.0,EN_NPi2020_500,World,Capacity|Hydrogen|Electricity,GW,3.085371089,,,,,6.409475032,,,,,20.9397812,,,,,58.9212033,,,,,93.00466342,,,,,133.071132,,,,,217.3799358,C1,
WITCH 5.0,EN_NPi2020_500,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.050463964,,,,,0.031044649,,,,,0.180098828,,,,,1.046635662,,,,,1.632175752,,,,,2.348196908,,,,,3.912838843,C1,
WITCH 5.0,EN_NPi2020_500f,World,Capacity|Hydrogen|Electricity,GW,3.085371089,,,,,6.496265329,,,,,19.37388165,,,,,38.91366511,,,,,77.59839948,,,,,120.7734351,,,,,197.4756515,C1,
WITCH 5.0,EN_NPi2020_500f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.050463964,,,,,0.030890776,,,,,0.13015458,,,,,0.685475752,,,,,1.365254993,,,,,2.130843535,,,,,3.554561726,C1,
WITCH 5.0,EN_NPi2020_600,World,Capacity|Hydrogen|Electricity,GW,3.085371089,,,,,6.658658782,,,,,20.14222148,,,,,46.16439103,,,,,80.86259945,,,,,126.9346664,,,,,211.2941311,C3,
WITCH 5.0,EN_NPi2020_600,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.050463964,,,,,0.019366905,,,,,0.138064541,,,,,0.811983698,,,,,1.411608701,,,,,2.225609211,,,,,3.80329436,C3,
AIM/CGE 2.0,SSP1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3,
AIM/CGE 2.0,SSP1-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C5,
